timestamp,phase,paper_id,decision,rule_applied,rationale,rater_initials
2026-04-12T12:28:42Z,1,N/A,retain_procode_capabilities_defer_lcnc,Petersen 2015 §6 (protocol refinement at pilot),"Capability list (19 IDs) is derived exclusively from three pro-code-focused reference surveys per Task 1.4 scope. LCNC-specific capabilities (e.g. app generation, workflow automation, data connector configuration) are not represented. Decision: retain current list and defer assessment to Task 1.6 pilot, where at least one LCNC paper will be tested against the codebook. If capabilities do not fit, LCNC-specific IDs will be added with a new register entry. Paradigm-specific gaps are captured via F5 secondary cross-tabulation per proposal §3.5.",AT
2026-04-13T08:18:49Z,1,N/A,codebook_refined_post_pilot,Ali & Petersen 2014 (protocol piloting); Petersen 2015 §6 (protocol refinement),"Five codebook refinements approved post-pilot: (1) F2 Survey disambiguation from literature reviews; (2) F3 Mixed population ≥80% threshold + end-user developer mapping; (3) F4 Design/Requirements boundary + learning-as-SDLC rule; (4) F5 multi-tool generic attribution rule; (5) EC4 screening notes added to codebook. Based on 7 ambiguities from 3 pilot papers (P1 Banh include, P2 Ajimati exclude, P3 Liang borderline→include).",AT
2026-04-13T13:05:26.382552+00:00,2,N/A,scopus_search_executed,Petersen 2015 §5,"Query: ( TITLE-ABS-KEY( ( ((""AI coding assistant"" OR ""AI code generation"" OR ""LLM-based coding"" OR ""LLM coding assistant"") AND (""usage"" OR ""adoption"" OR ""practice"" OR ""experience"")) OR ((""GitHub Copilot"" OR .... Path: A. Results: 4156 rows. Output: artifacts/search/raw/scopus_20260413.csv",AT
2026-04-13T13:33:34Z,2,N/A,ieee_csdl_replaces_xplore,Petersen 2015 §5 (multi-database search),"IEEE Computer Society Digital Library (CSDL) used instead of IEEE Xplore for Task 2.2 due to lack of institutional Xplore access. CSDL covers IEEE Computer Society conference proceedings and transactions relevant to SE (ICSE, ASE, ESEM, TSE, etc.). research_plan_sms.md updated: §3 prerequisites, Task 2.2 title, algorithm purpose, and entry/execution prompts. Coverage impact: CSDL is a subset of Xplore (CS publications only); non-CS IEEE venues may be missed but are unlikely to contain SE agent usage studies.",AT
2026-04-13T13:48:50Z,2,N/A,query_translated_ieee_csdl,Petersen 2015 §5 (multi-database search),"Scopus query translated to IEEE CSDL syntax. S1–S6 run as six separate searches (CSDL query length limits). CSDL searches title+abstract+keywords by default. Dropped filters: SRCTYPE(j/p), DOCTYPE, LANGUAGE, NOT DOCTYPE — handled during screening. Year filter: 2022–2026. Full translation in design/2_2_searchstring.md.",AT
2026-04-13T13:48:50Z,2,N/A,query_translated_acm_dl,Petersen 2015 §5 (multi-database search),"Scopus query translated to ACM DL syntax. S1–S6 run as six separate searches using simple Boolean syntax (ACM DL supports same operators). Dropped filters: SRCTYPE, DOCTYPE, LANGUAGE, NOT DOCTYPE — handled during screening. Date filter: Jan 2022 – Apr 2026. Full translation in design/2_2_searchstring.md.",AT
2026-04-13T14:35:40Z,2,N/A,ieee_search_removed,Petersen 2015 §5 (multi-database search),"IEEE CSDL search removed entirely — execution unsuccessful. No institutional IEEE Xplore access and CSDL advanced search could not execute the translated queries. Coverage mitigation: Scopus indexes IEEE publications (IEEE Access, TSE, ICSE proceedings, etc.), so IEEE-published papers are captured through Task 2.1 (4156 Scopus results). Study now uses two databases: Scopus (primary) + ACM DL (supplementary). research_plan_sms.md updated: §3 prerequisites, Task 2.2 scope, Tasks 2.3–2.4 references changed from three to two databases. This is a limitation to be acknowledged in the threats-to-validity discussion (Phase 7).",AT
2026-04-13T22:55:30.645133+00:00,2,N/A,openalex_enrichment_executed,Petersen 2015 §5 (cross-database validation),"OpenAlex enrichment: match rate 97.7%, flags: [ic3_mismatch=8, preprint=4, retracted=0, paratext=1], output rows: 4625, output: artifacts/search/enriched/merged_openalex.csv",AT
2026-04-14T03:21:50.425635+00:00,2,N/A,scis_enrichment_executed,SMU SCIS 2025 venue ranking list,"SCIS enrichment: 821/4625 matched (17.8%). By method: issn=319, name=341, acronym=161. By rank: A*=380, A=368, B=73. By type: Journal=529, Conference=292. Output: artifacts/search/enriched/scis_enriched.csv",AT
2026-04-14T03:29:59.752883+00:00,2,N/A,dedup_executed,Petersen 2015 §5.4 (duplicate removal),"Dedup: 4625 input → 4246 output (379 duplicates removed). DOI-based: 3967 unique DOIs (375 groups with 2+ rows, 339 cross-database merges). Fallback (no-DOI): 279 groups, 2 duplicates removed. Output: artifacts/search/enriched/dedup.csv",AT
