"paper_id","doi","title","venue","scis_rank","safe_filename","status","source","pdf_url","attempts","first_attempt_date","last_attempt_date","retrieved_at","file_size_bytes","notes"
"10.1145/3597503.3639133","","Traces of Memorisation in Large Language Models for Code","","","","","","","","","","","",""
"10.1109/chase66643.2025.00016","","Human and Machine: How Software Engineers Perceive and Engage with AI-Assisted Code Reviews Compared to Their Peers","","","","","","","","","","","","DOI provided by user; IEEE CHASE 2025; prefix 10.1109 matches IEEE venue"
"10.1016/j.infsof.2025.107751","","Copiloting the future: How generative AI transforms Software Engineering","","","","","","","","","","","",""
"10.1145/3639477.3643648","","An Industry Case Study on Adoption of AI-based Programming Assistants","","","","","","","","","","","",""
"10.1145/3701716","","PlotGen: Multi-Agent LLM-based Scientific Data Visualization via Multimodal Retrieval Feedback","","","","","","","","","","","",""
"10.1109/esem64174.2025.00074","","Invisible Risks Visible Code: A Vision for Understanding Ethical Debt in AI-Based Coding","","","","","","","","","","","",""
"10.1145/3696630.3730566","","Generative AI and Developer Workflows: How GitHub Copilot and ChatGPT Influence Solo and Pair Programming","","","","","","","","","","","","DOI provided by user; ACM prefix 10.1145 — unusual for HICSS (typically ScholarSpace); needs verification"
"10.18653/v1/2025.findings-emnlp.150","","UIOrchestra: Generating High-Fidelity Code from UI Designs with a Multi-agent System","","","","","","","","","","","","DOI provided by user; confirmed — PDF states Findings of EMNLP 2025 pp. 2769–2782; ACL Anthology prefix matches"
"doi:10.1186/s12873-026-01540-9","10.1186/s12873-026-01540-9","DispatchMAS: fusing taxonomy and artificial intelligence agents for emergency medical services","BMC Emergency Medicine","Not found","doi_10.1186_s12873-026-01540-9.pdf","retrieved","unpaywall","https://link.springer.com/content/pdf/10.1186/s12873-026-01540-9.pdf","3","2026-04-16","2026-04-16","2026-04-16T03:31:43.845958+00:00","5613114","unpaywall_ok; download_ok; valid_pdf_5613114bytes"
"doi:10.1186/s40594-025-00592-w","10.1186/s40594-025-00592-w","Tool, tutor, or crutch?: A grounded theory of cognitive scaffolding and offloading in AI-assisted programming education","International Journal of Stem Education","Not found","doi_10.1186_s40594-025-00592-w.pdf","retrieved","unpaywall","https://doi.org/10.1186/s40594-025-00592-w","4","2026-04-16","2026-04-16","2026-04-16T06:16:19.674867+00:00","2906978","unpaywall_ok; download_ok_url1; valid_pdf_2906978bytes"
