"paper_id","title","authors","year","venue","scis_rank","scis_venue_type","abstract","status","extraction_source","timestamp","model","input_tokens","output_tokens","cost_usd","notes"
"doi:10.1186/s12873-026-01540-9","DispatchMAS: fusing taxonomy and artificial intelligence agents for emergency medical services","","2026","BMC Emergency Medicine","Not found","Not found","Emergency medical dispatch is a critical, high-stakes process where dispatcher decisions directly impact patient outcomes. While standardized protocols exist, they are challenged by factors like caller distress, ambiguous symptom descriptions, and high cognitive load. The convergence of Large Language Models (LLMs) and Multi-Agent Systems (MAS) offers a novel opportunity to augment human dispatchers. This study aimed to develop and evaluate a taxonomy-grounded, LLM-powered multi-agent system for","extracted","abstract_only","2026-04-17T07:25:14.660252+00:00","gemini-3.1-pro-preview","6225","311","0.0162",""
"doi:10.1186/s40594-025-00592-w","Tool, tutor, or crutch?: A grounded theory of cognitive scaffolding and offloading in AI-assisted programming education","","2026","International Journal of Stem Education","Not found","Not found","The integration of generative AI into programming education has produced a widely reported tension between performance and learning. We distinguish immediate task performance from genuine learning: durable, transferable conceptual understanding and evaluative skill, and examine how AI support shapes learning processes, not merely outcomes. While many studies document improved speed, accuracy, and affect with AI support, questions remain about the quality of underlying learning. We use a construc","extracted","fulltext","2026-04-17T07:26:44.022626+00:00","gemini-3.1-pro-preview","15291","1277","0.0459",""
"doi:10.1007/s00766-026-00457-w","Addressing trust requirements in the design of an open-source multi-agent LLM-based domain-specific chatbot","","2026","Requirements Engineering","Not found","Not found","Abstract Large Language Models (LLMs) have the potential to automate knowledge-intensive interactions in enterprise systems, yet their adoption is often limited. One reason is a lack of user trust. This study examines how trust can be systematically engineered into an LLM-driven, multi-agent chatbot that handles routine human-resources (HR) queries. We follow a two-cycle Design Science Research methodology. Cycle 1 triangulated a systematic literature review with a thematic analysis over semi-st","extracted","fulltext","2026-04-17T07:35:59.496054+00:00","gemini-3.1-pro-preview","22851","1159","0.0596",""
"doi:10.1145/3777904","Programming Challenges and Perceptions: A Study of Separate Groups before and after the Release of ChatGPT","","2026","ACM Transactions on Computing Education","B","Journal","Learning to program a new language presents persistent challenges such as debugging, program design and understanding advanced programming concepts, all of which contribute to high dropout rates and learning difficulties. Meanwhile, the emergence of Large Language Models (LLMs) like ChatGPT introduces new dimensions in programming education, offering personalised and interactive learning experiences that could mitigate traditional learning challenges. This study investigates students’ perception","extracted","abstract_only","2026-04-17T07:36:30.097515+00:00","gemini-3.1-pro-preview","5866","291","0.0152",""
"doi:10.1145/3779296","LLMs Integration in Software Engineering Team Projects: Roles, Impact, and a Pedagogical Design Space for AI Tools in Computing Education","","2026","ACM Trans. Comput. Educ.","Not found","Not found","This work takes a pedagogical lens to explore the implications of generative AI (GenAI) models and tools, such as ChatGPT and GitHub Copilot, in a semester-long 2nd-year undergraduate software engineering team project. Qualitative findings from a survey (39 students) and interviews (eight students) provide insights into the students' views on the impact of GenAI use on their coding experience, learning, and self-efficacy. Our results address a particular gap in understanding the role and implica","extracted","fulltext","2026-04-17T07:37:17.580099+00:00","gemini-3.1-pro-preview","19913","1516","0.058",""
"doi:10.1016/j.giq.2026.102128","Positioning public sector practitioners as ‘moral crumple zones’: Mechanisms in the early use of generative AI work support tools","","2026","Government Information Quarterly","Not found","Not found","Work support tools built on generative artificial intelligence (AI), like Microsoft 365 Copilot and other AI assistants, are increasingly the object of experimentation in public sector. Yet, empirical research on workers' experiences with these tools remains limited. This article draws on 2.5 years of ethnographic fieldwork on AI innovation in two Finnish organizations and three cases of such tools to critically explore the positioning of users as ‘moral crumple zones’ who bear the burden of ens","extracted","abstract_only","2026-04-17T07:38:05.458292+00:00","gemini-3.1-pro-preview","5977","334","0.016",""
"doi:10.1007/s10664-025-10758-3","LLMs as Hackers: Autonomous Linux Privilege Escalation Attacks","","2026","Empirical Software Engineering","A*","Journal","Abstract Penetration-testing is crucial for identifying and mitigating system vulnerabilities, with privilege-escalation being a critical subtask involving gaining elevated access to protected resources. The emergence of Large Language Models (LLMs) presents new avenues for automating these security practices by emulating human behavior. However, a comprehensive understanding of LLMs’ efficacy and limitations in performing autonomous Linux privilege-escalation attacks remains underexplored. To a","extracted","abstract_only","2026-04-17T07:39:57.224741+00:00","gemini-3.1-pro-preview","6085","324","0.0161",""
"doi:10.1007/s10664-026-10813-7","Can generative AI bridge the gap? A quasi-experimental study of non-programmers with AI vs. programmers without AI","","2026","Empirical Software Engineering","A*","Journal","","extracted","fulltext","2026-04-17T08:24:39.006248+00:00","gemini-3.1-pro-preview","18244","1037","0.0489",""
"doi:10.1016/j.jss.2025.112727","An empirical study on low-code programming using traditional vs large language model support","","2026","Journal of Systems and Software","A","Journal","","extracted","abstract_only","2026-04-17T08:28:41.799611+00:00","gemini-3.1-pro-preview","5632","307","0.0149",""
"doi:10.5815/ijmecs.2026.02.05","Quality Evaluation of Indonesian Student-generated User Stories: Insight from Human and ChatGPT Evaluation","","2026","International Journal of Modern Education and Computer Science","Not found","Not found","User stories are essential in agile software development for capturing software requirements, yet concerns over their quality persist globally. While prior studies have evaluated user story quality using practitioners and artificial intelligence, they primarily focus on general settings. This study addresses a gap by evaluating the quality of student-generated user stories in an educational context, specifically in Indonesia. The objective of this study is to compare evaluations by human evaluat","extracted","fulltext","2026-04-17T08:29:32.163147+00:00","gemini-3.1-pro-preview","15139","977","0.042",""
