"ref_id","source_seed","raw_citation","authors","title","year","doi","status","screening_paper_id","crossref_confidence","notes"
"snow_00000","AjimatiLCNC2025","","M.O. Ajimati et al.","The Journal of Systems & Software","2025","","excluded_via_snowball","hash:16d589676076","0.5","extraction:llm;crossref_no_match"
"snow_00001","AjimatiLCNC2025","","Schenkenfelder et al.","Interviews: Explores the requirements for LCDPs, benefits, challenges and limitations.","2023","","excluded_via_snowball","hash:b33ede9f939b","0.486","extraction:llm;crossref_no_match"
"snow_00002","AjimatiLCNC2025","","Silva et al.","PRECOG Software development: Using descriptive cognitive model to determine a low-code development platform’s usability","2021","","excluded_via_snowball","hash:802d9be58a33","0.355","extraction:llm;crossref_no_match"
"snow_00003","AjimatiLCNC2025","","Thacker et al.","Zapier System Theory of planned Behaviour (TPB)","2021","","excluded_via_snowball","hash:4f73977abd8e","0.571","extraction:llm;crossref_no_match"
"snow_00004","AjimatiLCNC2025","","Wang et al.","Microsoft Power Apps teaching experiment: Students find low-code teaching module for business app development projects to be useful for problem-solving, creativity, self-regulation, and teamwork activities.","2021","","excluded_via_snowball","hash:2eafbb06745c","0.25","extraction:llm;crossref_no_match"
"snow_00005","AjimatiLCNC2025","","Zolotas et al.","RESTsec Designers enable developer to model, integrate, and create seamlessly secured enterprise services for automation.","2018","","excluded_via_snowball","hash:99d539b88304","0.267","extraction:llm;crossref_no_match"
"snow_00006","AjimatiLCNC2025","","Al Alamin, M.A., Uddin, G., Malakar, S., Afroz, S., Haider, T., Iqbal, A.","Developer discussion topics on the adoption and barriers of low code software development platforms.","2023","10.1007/s10664-022-10244-0","excluded_via_snowball","doi:10.1007/s10664-022-10244-0","1.0","extraction:llm"
"snow_00007","AjimatiLCNC2025","","Aladwani, A.M.","An integrated performance model of information systems projects.","2002","10.1080/07421222.2002.11045709","excluded_via_snowball","doi:10.1080/07421222.2002.11045709","","extraction:llm"
"snow_00008","AjimatiLCNC2025","","Ali, Q.U.A., Horvath, B., Kolovos, D., Barmpis, K., Horvath, A.","Towards scalable validation of low-code system models: mapping EVL to VIATRA patterns.","2021","10.1109/models-c53483.2021.00019","excluded_via_snowball","doi:10.1109/models-c53483.2021.00019","1.03","extraction:llm"
"snow_00009","AjimatiLCNC2025","","Fakieh, B.","Factors that affect the utilization of low-code development platforms: survey study.","2021","10.33436/v31i3y202110","excluded_via_snowball","doi:10.33436/v31i3y202110","1.03","extraction:llm"
"snow_00010","AjimatiLCNC2025","","Andriole, S.J.","The hard truth about soft digital transformation.","2020","10.1109/mitp.2020.2972169","excluded_via_snowball","doi:10.1109/mitp.2020.2972169","1.03","extraction:llm"
"snow_00011","AjimatiLCNC2025","","Asawa, K., Kukreja, S., Gondkar, R.","An NCDP for developing a Blockchain based dynamic supply chain management with auto-generation of smart contract.","2021","10.23919/icac50006.2021.9594235","excluded_via_snowball","doi:10.23919/icac50006.2021.9594235","1.03","extraction:llm"
"snow_00012","AjimatiLCNC2025","","Gartner.","Gartner forecasts worldwide low-code development technologies market to grow 23% in 2021.","2021","","excluded_via_snowball","hash:0438be8b28c2","0.148","extraction:llm;crossref_no_match"
"snow_00013","AjimatiLCNC2025","","Baumgarten, C., Simeon, A., Wilhelm, M.C.","Citizen Developers Driving the Digital Campus.","2020","","excluded_via_snowball","hash:bd8a96cf283b","0.183","extraction:llm;crossref_no_match"
"snow_00014","AjimatiLCNC2025","","Beranic, T., Rek, P., Hericko, M.","Adoption and usability of low-code /no-code development tools.","2020","","excluded_via_snowball","hash:c6d7f1b1a9ea","","extraction:llm;crossref_no_match"
"snow_00015","AjimatiLCNC2025","","Goodhue, D.L., Thompson, R.L.","Task-technology fit and individual performance.","1995","10.2307/249689","excluded_via_snowball","doi:10.2307/249689","","extraction:llm"
"snow_00016","AjimatiLCNC2025","","He, W., Zhang, Z., Li, W.","Information technology solutions, challenges, and suggestions for tackling the COVID-19 pandemic.","2021","10.1016/j.ijinfomgt.2020.102287","excluded_via_snowball","doi:10.1016/j.ijinfomgt.2020.102287","1.03","extraction:llm"
"snow_00017","AjimatiLCNC2025","","Hoogsteen, D., Borgman, H.","Empower the workforce, empower the company? Citizen development adoption.","2022","10.24251/hicss.2022.575","excluded_via_snowball","doi:10.24251/hicss.2022.575","","extraction:llm"
"snow_00018","AjimatiLCNC2025","","Huber, R., Oberl´ander, A.M., Faisst, U., Ro´glinger, M.","Disentangling capabilities for Industry 4.0 - an information systems capability perspective.","2022","10.1007/s10796-022-10260-x","excluded_via_snowball","doi:10.1007/s10796-022-10260-x","1.03","extraction:llm"
"snow_00019","AjimatiLCNC2025","","Hurlburt, G.","Low-code, no-code, what’s under the hood?","2021","10.1109/mitp.2021.3123415","excluded_via_snowball","doi:10.1109/mitp.2021.3123415","","extraction:llm"
"snow_00020","AjimatiLCNC2025","","Hylton, D., Sung, S., Xie, C.","Adopting no-code methods to visualize computational thinking.","2021","","excluded_via_snowball","hash:f1eb1034c1d6","0.283","extraction:llm;crossref_no_match"
"snow_00021","AjimatiLCNC2025","","Ihirwe, F., Di Ruscio, D., Mazzini, S., Pierini, P., Pierantonio, A.","Low-code engineering for internet of things: a state of research.","2020","10.1145/3417990.3420208","excluded_via_snowball","doi:10.1145/3417990.3420208","0.869","extraction:llm"
"snow_00022","AjimatiLCNC2025","","Binzer, B., Winkler, T.J.","Democratizing software development: a systematic multivocal literature review and research agenda on citizen development.","2022","10.1007/978-3-031-20706-8_17","excluded_via_snowball","doi:10.1007/978-3-031-20706-8_17","1.03","extraction:llm"
"snow_00023","AjimatiLCNC2025","","Bock, A.C., Frank, U.","Low-Code Platform.","2021","10.1007/s12599-021-00726-8","excluded_via_snowball","doi:10.1007/s12599-021-00726-8","1.03","extraction:llm"
"snow_00024","AjimatiLCNC2025","","Bucaioni, A., Cicchetti, A., Ciccozzi, F.","Modelling in low-code development: a multi-vocal systematic review.","2022","10.1007/s10270-021-00964-0","excluded_via_snowball","doi:10.1007/s10270-021-00964-0","","extraction:llm"
"snow_00025","AjimatiLCNC2025","","Cabot, J.","Positioning of the low-code movement within the field of model-driven engineering.","2020","10.1145/3417990.3420210","excluded_via_snowball","doi:10.1145/3417990.3420210","","extraction:llm"
"snow_00026","AjimatiLCNC2025","","Carroll, N., O ´ Mo´r´ain, L., Garrett, D., Jamnadass, A.","The importance of citizen development for digital transformation.","2021","","excluded_via_snowball","hash:02bc6e5ad548","0.487","extraction:llm;crossref_no_match"
"snow_00027","AjimatiLCNC2025","","Kedziora, D., Siemon, D., Elshan, E.","Transforming software products for intelligent automation services.","2023","","excluded_via_snowball","hash:d7f1c4545d99","0.357","extraction:llm;crossref_no_match"
"snow_00028","AjimatiLCNC2025","","Kitchenham, B., Pretorius, R., Budgen, D., Brereton, O.P., Turner, M., Niazi, M., Linkman, S.","Systematic literature reviews in software engineering–a tertiary study.","2010","10.1016/j.infsof.2010.03.006","excluded_via_snowball","doi:10.1016/j.infsof.2010.03.006","1.03","extraction:llm"
"snow_00029","AjimatiLCNC2025","","Khorram, F., Mottu, J.-M., Suny´e, G.","Challenges & opportunities in low-code testing.","2020","10.1145/3417990.3420204","excluded_via_snowball","doi:10.1145/3417990.3420204","0.956","extraction:llm"
"snow_00030","AjimatiLCNC2025","","Krejci, D., Iho, S., Missonier, S.","Innovating with employees: an exploratory study of idea development on low-code development platforms.","2021","10.1145/3417990.3420203","excluded_via_snowball","doi:10.1145/3417990.3420203","","extraction:llm"
"snow_00031","AjimatiLCNC2025","","Corral, L., Fronza, I., Pahl, C.","Block-based programming enabling students to gain and transfer knowledge with a no-code approach.","2021","10.1145/3450329.3478314","excluded_via_snowball","doi:10.1145/3450329.3478314","1.03","extraction:llm"
"snow_00032","AjimatiLCNC2025","","Lara-Prieto, V., Flores-Garza, G.E.","iWeek experience: the innovation challenges of digital transformation in industry.","2021","10.1007/s12008-021-00810-z","excluded_via_snowball","doi:10.1007/s12008-021-00810-z","1.0","extraction:llm"
"snow_00033","AjimatiLCNC2025","","Lebens, M., Finnegan, R., Sorsen, S., Shah, J.","Rise of the citizen developer.","2021","10.28945/4885","excluded_via_snowball","doi:10.28945/4885","1.03","extraction:llm"
"snow_00034","AjimatiLCNC2025","","Curty, S., Ha¨rer, F., Fill, H.G.","Blockchain application development using model-driven engineering and low-code platforms: A survey.","2022","10.1007/978-3-031-07475-2_14","excluded_via_snowball","doi:10.1007/978-3-031-07475-2_14","1.03","extraction:llm"
"snow_00035","AjimatiLCNC2025","","Da Cruz, M.A., de Paula, H.T., Caputo, B.P., Mafra, S.B., Lorenz, P., Rodrigues, J.J.","Olp—a restful open low-code platform.","2021","10.3390/fi13100249","excluded_via_snowball","doi:10.3390/fi13100249","1.03","extraction:llm"
"snow_00036","AjimatiLCNC2025","","Davis, F.D.","Perceived usefulness, perceived ease of use, and user acceptance of information technology.","1989","10.2307/249008","excluded_via_snowball","doi:10.2307/249008","","extraction:llm"
"snow_00037","AjimatiLCNC2025","","Edison, H., Carroll, N., Morgan, L., Conboy, K.","Inner source software development: current thinking and an agenda for future research.","2020","10.1016/j.jss.2020.110520","excluded_via_snowball","doi:10.1016/j.jss.2020.110520","","extraction:llm"
"snow_00038","AjimatiLCNC2025","","El-Masri, M., Al-Yafi, K., Kamal, M.M.","A task-technology-identity fit model of smartwatch utilisation and user satisfaction a hybrid SEM-neural network Approach.","2022","10.1007/s10796-022-10256-7","excluded_via_snowball","doi:10.1007/s10796-022-10256-7","1.03","extraction:llm"
"snow_00039","AjimatiLCNC2025","","Elshan, E., Dickhaut, E., Ebel, P.A.","An investigation of why low code platforms provide answers and new challenges.","2023","10.24251/hicss.2023.746","excluded_via_snowball","doi:10.24251/hicss.2023.746","1.03","extraction:llm"
"snow_00040","AjimatiLCNC2025","","Elshan, E., Ebel, P., So¨llner, M., Leimeister, J.M.","Leveraging low code development of smart personal assistants: an integrated design approach with the SPADE method.","2023","10.1080/07421222.2023.2172776","excluded_via_snowball","doi:10.1080/07421222.2023.2172776","1.03","extraction:llm"
"snow_00041","AjimatiLCNC2025","","Mathieu, J., Maynard, T.M., Rapp, T., Gilson, L.","Team effectiveness 1997-2007: a review of recent advancements and a glimpse into the future.","2008","10.1177/0149206308316061","excluded_via_snowball","doi:10.1177/0149206308316061","","extraction:llm"
"snow_00042","AjimatiLCNC2025","","Marek, K., Smialek, M., Rybinski, K., Roszczyk, R., Wdowiak, M.","BALTICLSC: low-code software development platform for large scale computations.","2021","10.31577/cai","excluded_via_snowball","doi:10.31577/cai","","extraction:llm"
"snow_00043","AjimatiLCNC2025","","Magesa, M.M., Jonathan, J.","Conceptualizing digital leadership characteristics for successful digital transformation: the case of Tanzania.","2021","10.1080/02681102.2021.1991872","excluded_via_snowball","doi:10.1080/02681102.2021.1991872","","extraction:llm"
"snow_00044","AjimatiLCNC2025","","Metroˆlho, J.C., Ribeiro, F., Araujo, R.","A strategy for facing new employability trends using a low-code development platform.","2020","10.21125/inted.2020.2341","excluded_via_snowball","doi:10.21125/inted.2020.2341","","extraction:llm"
"snow_00045","AjimatiLCNC2025","","Smidt, H.J., Jokonya, O.","Factors affecting digital technology adoption by small-scale farmers in agriculture value chains (AVCs) in South Africa.","2022","10.1080/02681102.2021.1975256","excluded_via_snowball","doi:10.1080/02681102.2021.1975256","","extraction:llm"
"snow_00046","AjimatiLCNC2025","","Sufi, F.","Algorithms in low-code-no-code for research applications: a practical review.","2023","10.3390/a16020108","excluded_via_snowball","doi:10.3390/a16020108","1.03","extraction:llm"
"snow_00047","AjimatiLCNC2025","","Stamoulis, D.S.","Management and Technical IT Priorities for Digital Organizations in 2022.","2022","10.24018/ejbmr.2022.7.1.1225","excluded_via_snowball","doi:10.24018/ejbmr.2022.7.1.1225","","extraction:llm"
"snow_00048","AjimatiLCNC2025","","Thacker, D., Kaur, V., Blundell, G., Thacker, D., Berardi, V.","Assessing technological self-conception: are business students ready to be citizen developers?.","2020","","excluded_via_snowball","hash:aea0485f5fb2","0.129","extraction:llm;crossref_no_match"
"snow_00049","AjimatiLCNC2025","","Ullrich, C., Lata, T., Geyer-Klingeberg, J.","Celonis studio - a low-code development platform for citizen developers.","2021","","excluded_via_snowball","hash:260cdacf96e0","0.207","extraction:llm;crossref_no_match"
"snow_00050","AjimatiLCNC2025","","Venkatesh, V., Thong, J.Y.L., Xu, X.","Unified theory of acceptance and use of technology: a synthesis and the road ahead.","2016","10.17705/1jais.00428","excluded_via_snowball","doi:10.17705/1jais.00428","","extraction:llm"
"snow_00051","AjimatiLCNC2025","","Wang, S., Wang, H.","Teaching tip a teaching module of no-code business app development.","2021","","excluded_via_snowball","hash:bef4bdf6e711","0.462","extraction:llm;crossref_no_match"
"snow_00052","AjimatiLCNC2025","","Wang, Y., Feng, Y., Zhang, M., Sun, P.","The necessity of low-code engineering for industrial software development: a case study and reflections.","2021","10.1109/issrew53611.2021.00112","excluded_via_snowball","doi:10.1109/issrew53611.2021.00112","1.03","extraction:llm"
"snow_00053","AjimatiLCNC2025","","Petersen, K., Vakkalanka, S., Kuzniarz, L.","Guidelines for conducting systematic mapping studies in software engineering: an update.","2015","10.1016/j.infsof.2015.03.007","excluded_via_snowball","doi:10.1016/j.infsof.2015.03.007","","extraction:llm"
"snow_00054","AjimatiLCNC2025","","Pichidtienthum, S., Pugsee, P., Cooharojananone, N.","Developing module generation for odoo using concept of low-code development platform and automation systems.","2021","10.1109/iciea52957.2021.9436754","excluded_via_snowball","doi:10.1109/iciea52957.2021.9436754","1.03","extraction:llm"
"snow_00055","AjimatiLCNC2025","","Prinz, N., Huber, M., Riedinger, C., Rentrop, C.","Two perspectives of low-code development platform challenges – an exploratory study.","2022","","excluded_via_snowball","hash:39274dc781b6","0.426","extraction:llm;crossref_no_match"
"snow_00056","AjimatiLCNC2025","","Wolfswinkel, J.F., Furtmueller, E., Wilderom, C.P.M.","Using grounded theory as a method for rigorously reviewing literature.","2013","10.1057/ejis.2011.51","excluded_via_snowball","doi:10.1057/ejis.2011.51","","extraction:llm"
"snow_00057","AjimatiLCNC2025","","Woo, M.","The rise of no/low code software development—no experience needed?","2020","10.1016/j.eng.2020.07.007","excluded_via_snowball","doi:10.1016/j.eng.2020.07.007","","extraction:llm"
"snow_00058","AjimatiLCNC2025","","Qureshi, S.","Digital transformation at the margins: a battle for the soul of sovereignty.","2022","10.1080/02681102.2022.2062291","excluded_via_snowball","doi:10.1080/02681102.2022.2062291","","extraction:llm"
"snow_00059","AjimatiLCNC2025","","Yan, Z.","The impacts of low/no-code development on digital transformation and software development.","2021","","excluded_via_snowball","hash:aa81a6d06e6b","0.548","extraction:llm;crossref_no_match"
"snow_00060","AjimatiLCNC2025","","Reilly, J.","How No-Code Platforms Can Bring AI to Small and Midsize Businesses.","2021","","excluded_via_snowball","hash:6c470c78bd19","0.24","extraction:llm;crossref_no_match"
"snow_00061","AjimatiLCNC2025","","Roztocki, N., Soja, P., Weistroffer, H.R.","The role of information and communication technologies in socioeconomic development: towards a multi-dimensional framework.","2019","10.1080/02681102.2019.1596654","excluded_via_snowball","doi:10.1080/02681102.2019.1596654","","extraction:llm"
"snow_00062","AjimatiLCNC2025","","Sanchis, R., García-Perales, O., Fraile, F., Poler, R.","Low-code as enabler of digital transformation in manufacturing industry.","2020","10.3390/app10010012","excluded_via_snowball","doi:10.3390/app10010012","","extraction:llm"
"snow_00063","AjimatiLCNC2025","","Satuluri, R.K., Radhika, R.","Digital transformation in Indian insurance industry.","2021","10.17762/turcomat.v12i4.509","excluded_via_snowball","doi:10.17762/turcomat.v12i4.509","1.03","extraction:llm"
"snow_00064","AjimatiLCNC2025","","Schenkenfelder, B., Salomon, C., Buchgeher, G., Schossleitner, R., Kerl, C.","The potential of low-code development in the manufacturing industry.","2023","10.1109/etfa54631.2023.10275503","excluded_via_snowball","doi:10.1109/etfa54631.2023.10275503","1.03","extraction:llm"
"snow_00065","AjimatiLCNC2025","","Schneid, K., Stapper, L., Thone, S., Kuchen, H.","Automated regression tests: a no-code approach for BPMN-based process-driven applications.","2021","10.1109/edoc52215.2021.00014","excluded_via_snowball","doi:10.1109/edoc52215.2021.00014","","extraction:llm"
"snow_00066","AjimatiLCNC2025","","Silva, C., Vieira, J., Campos, J.C., Couto, R., Ribeiro, A.N.","Development and validation of a descriptive cognitive model for predicting usability issues in a low-code development platform.","2021","10.1177/0018720820920429","excluded_via_snowball","doi:10.1177/0018720820920429","","extraction:llm"
"snow_00067","AjimatiLCNC2025","","Zolotas, C., Chatzidimitriou, K.C., Symeonidis, A.L.","RESTsec: a low-code platform for generating secure by design enterprise services.","2018","10.1080/17517575.2018.1462403","excluded_via_snowball","doi:10.1080/17517575.2018.1462403","","extraction:llm"
"snow_00068","AjimatiLCNC2025","","Zheng, Y., Hatakka, M., Sahay, S., Andersson, A.","Conceptualizing development in information and communication technology for development (ICT4D).","2018","10.1080/02681102.2017.1396020","excluded_via_snowball","doi:10.1080/02681102.2017.1396020","1.0","extraction:llm"
"snow_00069","LiuLLMAgents2026","","","Black","","","excluded_via_snowball","hash:e90dfb84e30e","0.816","extraction:llm;crossref_no_match"
"snow_00070","LiuLLMAgents2026","","","DuckDuckGo","","","excluded_via_snowball","hash:ab8415dd5798","0.5","extraction:llm;crossref_no_match"
"snow_00071","LiuLLMAgents2026","","","EclipseJDTLS","","","excluded_via_snowball","hash:7e36646adb38","","extraction:llm;crossref_no_match"
"snow_00072","LiuLLMAgents2026","","","Frama-C","","","excluded_via_snowball","hash:4914ba8e7fa5","0.73","extraction:llm;crossref_no_match"
"snow_00073","LiuLLMAgents2026","","","InternationalDatasetofFlakytests","","","excluded_via_snowball","hash:47f2ec801616","","extraction:llm;crossref_no_match"
"snow_00074","LiuLLMAgents2026","","","TheLLVMCompilerInfrastructure","","","excluded_via_snowball","hash:843053cb0169","","extraction:llm;crossref_no_match"
"snow_00075","LiuLLMAgents2026","","","MetasploitFramework","","","excluded_via_snowball","hash:637f823be0ae","","extraction:llm;crossref_no_match"
"snow_00076","LiuLLMAgents2026","","","OCLint","","","excluded_via_snowball","hash:932a4bc738f3","","extraction:llm;crossref_no_match"
"snow_00077","LiuLLMAgents2026","","","SerpApi","","","excluded_via_snowball","hash:6c7d098c8136","0.277","extraction:llm;crossref_no_match"
"snow_00078","LiuLLMAgents2026","","","PythonWrapperofAndroidUiautomatorTestTool","2021","","excluded_via_snowball","hash:f6352e309b31","","extraction:llm;crossref_no_match"
"snow_00079","LiuLLMAgents2026","","","OpenAI:IntroducingChatGPT","2022","","excluded_via_snowball","hash:f259d1b274eb","0.53","extraction:llm;crossref_no_match"
"snow_00080","LiuLLMAgents2026","","","AndroidDebugBridge(adb)-AndroidDevelopers","2023","","excluded_via_snowball","hash:b4121a762e97","0.319","extraction:llm;crossref_no_match"
"snow_00081","LiuLLMAgents2026","","","AndroidUiautomator2PythonWrapper","2023","","excluded_via_snowball","hash:d65ed23802b8","","extraction:llm;crossref_no_match"
"snow_00082","LiuLLMAgents2026","","","CrewAI","2023","10.1007/979-8-8688-1134-0_6","excluded_via_snowball","doi:10.1007/979-8-8688-1134-0_6","1.0","extraction:llm"
"snow_00083","LiuLLMAgents2026","","","FunctionCallingandOtherAPIUpdates","2023","","excluded_via_snowball","hash:2c8c7a4d288d","","extraction:llm;crossref_no_match"
"snow_00084","LiuLLMAgents2026","","","Genymotion–AndroidEmulatorforAppTesting","2023","","excluded_via_snowball","hash:144548828f05","0.236","extraction:llm;crossref_no_match"
"snow_00085","LiuLLMAgents2026","","","GPT-3.5","2023","","excluded_via_snowball","hash:b1d17eee585f","0.726","extraction:llm;crossref_no_match"
"snow_00086","LiuLLMAgents2026","","","GPT-4","2023","","excluded_via_snowball","hash:3a3537c4ddff","0.832","extraction:llm;crossref_no_match"
"snow_00087","LiuLLMAgents2026","","","MultiDevin","2023","","excluded_via_snowball","hash:d8c2d090993b","","extraction:llm;crossref_no_match"
"snow_00088","LiuLLMAgents2026","","","pyvbox","2023","","excluded_via_snowball","hash:2016f9d1a443","","extraction:llm;crossref_no_match"
"snow_00089","LiuLLMAgents2026","","","virtualbox","2023","","excluded_via_snowball","hash:0d653d65052a","0.5","extraction:llm;crossref_no_match"
"snow_00090","LiuLLMAgents2026","","","7millionpublications","2024","","excluded_via_snowball","hash:dced877b9765","","extraction:llm;crossref_no_match"
"snow_00091","LiuLLMAgents2026","","","Aider","2024","","excluded_via_snowball","hash:89c29b9fef93","0.707","extraction:llm;crossref_no_match"
"snow_00092","LiuLLMAgents2026","","","AmazonBedrock","2024","","excluded_via_snowball","hash:2b9249ef57ce","","extraction:llm;crossref_no_match"
"snow_00093","LiuLLMAgents2026","","","arXiv","2024","","excluded_via_snowball","hash:dc3be5c20e0b","0.707","extraction:llm;crossref_no_match"
"snow_00094","LiuLLMAgents2026","","","Clang","2024","10.5040/9781623560621.02639","excluded_via_snowball","doi:10.5040/9781623560621.02639","1.0","extraction:llm"
"snow_00095","LiuLLMAgents2026","","","codeparrot/github-jupyter","2024","","excluded_via_snowball","hash:fe02c8686eba","0.516","extraction:llm;crossref_no_match"
"snow_00096","LiuLLMAgents2026","","","GPT-4","2024","","excluded_via_snowball","hash:1ee9c25b82b7","0.802","extraction:llm;crossref_no_match"
"snow_00097","LiuLLMAgents2026","","","IntroducingSWE-benchVerified","2024","","excluded_via_snowball","hash:ddacaaa8bc31","","extraction:llm;crossref_no_match"
"snow_00098","LiuLLMAgents2026","","","Moatlesstools","2024","","excluded_via_snowball","hash:1aac8aa2ee64","","extraction:llm;crossref_no_match"
"snow_00099","LiuLLMAgents2026","","","PlantUML","2024","","excluded_via_snowball","hash:9ee7448b4334","0.378","extraction:llm;crossref_no_match"
"snow_00100","LiuLLMAgents2026","","","Swarm","2024","","excluded_via_snowball","hash:c748cb0d4b57","0.667","extraction:llm;crossref_no_match"
