"canonical_label","pass1_codes","in_vivo_codes","passage_ids","cluster_size","confirmed_by","confirmed_at","notes"
"Requirement-Test Validation","[""Requirement-test alignment challenge"", ""requirement-to-test transformation""]","[""aligning testing efforts with business requirements"", ""transform high-level functional descriptions""]","[""doi:10.1109/msr66628.2025.00105:P001"", ""doi:10.14569/ijacsa.2025.0161272:P001""]","2","TBS","2026-04-18T14:02:48+00:00","renamed by rater"
"Automated Log Interpretation","[""Log parsing capability"", ""Log summarization""]","[""promising results for log parsing"", ""intelligent summary of key distinctions""]","[""doi:10.1109/ase56229.2023.00206:P001"", ""doi:10.1145/3696630.3728559:P002""]","2","TBS","2026-04-18T14:05:31+00:00",""
"Syntactic Accuracy Assurance","[""Code syntax correctness"", ""Invalid syntax"", ""Syntax error reduction"", ""syntax formatting errors""]","[""syntactic pass rate"", ""syntactically invalid unit tests"", ""save the time spent correcting these errors"", ""minor syntax hallucinations""]","[""doi:10.1145/3773274.3774686:P002"", ""doi:10.1145/3691620.3695529:P001"", ""doi:10.1145/3638247:P004"", ""doi:10.14569/ijacsa.2025.0161272:P004""]","4","TBS","2026-04-18T13:00:00+00:00",""
"Evaluating LLM Advisory Efficacy","[""LLM guidance"", ""LLM strategic limitations"", ""Need for LLM improvements""]","[""received guidance"", ""lack strategic depth"", ""generating messages leaves much to be improved""]","[""doi:10.1609/aaai.v39i27.35063:P002"", ""doi:10.1109/icei64305.2024.10912343:P003"", ""doi:10.1109/tse.2024.3364675:P004""]","3","TBS","2026-04-18T13:08:22+00:00",""
"Workflow Integration Depth","[""NLP workflow integration"", ""Seamless workflow integration"", ""Shallow workflow integration"", ""Workflow Integration""]","[""integrating natural language processing with engineering workflows"", ""just works within a series of IDEs"", ""integration in the development workflow remains mostly shallow"", ""incorporating it into their development workflows""]","[""doi:10.1109/ecce58356.2025.11260366:P001"", ""doi:10.1007/s10664-025-10730-1:P003"", ""doi:10.1145/3643795.3648377:P002"", ""doi:10.1145/3663529.3663801:P003""]","4","TBS","2026-04-18T13:00:56+00:00","renamed 2026-04-19T07:25:26+00:00 from 'Toolchain Embedding Depth' to 'Workflow Integration Depth' (rater TBS, Task 4.2 Step-3 review — clarity improvement)"
"Cursory Academic Peer Evaluation","[""Classroom code review"", ""Superficial code review""]","[""code review activity"", ""quickly skimmed the proposed code""]","[""doi:10.1109/cseet62301.2024.10663028:P001"", ""doi:10.1109/sp54263.2024.00046:P003""]","2","TBS","2026-04-18T14:09:13+00:00",""
"Perceived Interaction Quality","[""Improved user experience"", ""Poor functionality experience""]","[""significantly better in all six dimensions"", ""significantly enhanced system transparency, controllability, and sense of collaboration"", ""usage of Copilot’s code generation-related functionalities is unsatisfactory""]","[""doi:10.1145/3746059.3747689:P005"", ""doi:10.1145/3491102.3517582:P001"", ""doi:10.1016/j.jss.2024.112204:P002""]","2","TBS","2026-04-18T14:10:55+00:00",""
"Directed Cognitive Prioritization","[""Attention guidance"", ""Preference for guidance""]","[""discern where to focus effort on"", ""conceptual guidance""]","[""doi:10.1007/s10664-024-10594-x:P002"", ""doi:10.1145/3660788:P001""]","2","TBS","2026-04-18T14:13:06+00:00",""
"Contextual Processing Limitations","[""Lack of deep context"", ""Large context confusion""]","[""doesn't really know what to do clearly"", ""confused when the large code context is given""]","[""doi:10.1109/chase66643.2025.00016:P003"", ""doi:10.1186/s40537-024-01019-z:P003""]","2","TBS","2026-04-18T14:15:01+00:00",""
"Counteracting Proficiency Deficits","[""Skill degradation concern"", ""Skill gap mitigation""]","[""creative sense and my 'muscles' for writing code were more rusty"", ""compensated for our lack of skills"", ""addresses skill gaps""]","[""doi:10.1145/3772363.3799079:P004"", ""doi:10.1515/labmed-2024-0034:P003"", ""doi:10.5220/0012631600003687:P001""]","2","TBS","2026-04-18T14:17:22+00:00",""
