"paper_id","capability_id","evidence"
"doi:10.1186/s40594-025-00592-w","CAP_CODEGEN","Students used Transactional Delegation prompts to issue direct commands to generate functional code, e.g., 'write a java method to sort an arraylist'."
"doi:10.1186/s40594-025-00592-w","CAP_DEBUGGING","Students described debugging complex algorithms and code segments where errors were introduced by AI, e.g., 'I spent two hours debugging my complex scheduling algorithm...'"
"doi:10.1007/s00766-026-00457-w","CAP_MULTIAGENT","The artifact developed in this study is a MALLM-based HR chatbot that answers questions using either HR guideline documents or structured employment data. The chatbot comprises two multi-agent components: a guidelines component... and an employment component"
"doi:10.1007/s00766-026-00457-w","CAP_REQENG","Cycle 1 triangulated a systematic literature review with a thematic analysis over semi-structured interviews of six employees at a global firm and a confirmatory workshop with five AI experts to elicit and validate trust requirements."
"doi:10.1145/3779296","CAP_DEBUGGING","A.I helped isolate and fix errors in code I had already written."
"doi:10.1145/3779296","CAP_TESTING","It partially helped the team with writing test units by using our initial ideas to generate some tests using a new framework to the team."
"doi:10.1145/3779296","CAP_CODEREVIEW","Instead of always asking a team member to review what you’ve written, it might be quite useful to quickly paste it into ChatGPT and get some feedback to see if it’s okay or not."
"doi:10.1145/3779296","CAP_CODEGEN","Writing CSS classes can be tedious, and AI tools can quickly generate these, saving significant time."
"doi:10.1145/3779296","CAP_SYSDESIGN","when we met with my team for brainstorming, we used GPT to generate some project ideas."
"doi:10.1007/s10664-026-10813-7","CAP_CODEGEN","Participants used ChatGPT to write fully functional Python programs to solve specific well-specified tasks and passed pre-defined acceptance tests."
"doi:10.5815/ijmecs.2026.02.05","CAP_REQENG","These findings suggest that ChatGPT can support user story quality evaluation at scale when guided by clear evaluation guidance"
"doi:10.1145/3742475","CAP_DOCGEN","We present ComCat, an approach to automate comment generation by augmenting Large Language Models (LLMs) with expertise-guided context to target the annotation of source code with comments that improve comprehension."
"doi:10.1145/3742475","CAP_CODESUM","Software comprehension is eased by documentation such as comments that summarize and explain code."
"doi:10.1002/cae.70177","CAP_CODEGEN","Used GenAI tools such as ChatGPT, GitHub Copilot, Gemini, and Tabnine to develop a full-stack application"
"doi:10.1002/cae.70177","CAP_CODECOMP","Used GenAI tools such as ... GitHub Copilot ... and Tabnine"
"doi:10.1145/3770762.3772668","CAP_CODEGEN","AI tools are really powerful and can help me streamline certain processes like writing boilerplate code and comments."
"doi:10.1145/3770762.3772668","CAP_DEBUGGING","...[AI] can explain the issues well too."
"doi:10.1145/3770762.3772662","CAP_SELFREFLECT","the system prompts deeper reflection by generating questions focused on generalization, algorithmic justification, and complexity analysis."
"doi:10.1145/3770762.3772662","CAP_DEBUGGING","Owlgorithm guides students through reflective debugging by prompting them to identify the failure mode, recognize common pitfalls... and formulate a revision plan."
"doi:10.3390/electronics15040903","CAP_CODEGEN","human role was limited to specifying requirements, validating behavior, and issuing corrective prompts—without writing any code manually"
"doi:10.3390/electronics15040903","CAP_DEBUGGING","72 bug fix prompts"
"doi:10.3390/electronics15040903","CAP_DOCGEN","1 prompt dedicated to generating documentation"
"doi:10.59543/gk2qp136","CAP_CODECOMP","From code completion to conversational code generation, AI-assisted programming tools have transitioned from experimental to mainstream within professional software engineering workflows"
"doi:10.59543/gk2qp136","CAP_CODEGEN","From code completion to conversational code generation, AI-assisted programming tools have transitioned from experimental to mainstream within professional software engineering workflows"
"doi:10.18267/j.aip.282","CAP_DOCGEN","By transforming retrieved structured knowledge into natural language explanations, ULM acts as the core generative inference engine, producing context-rich, AI-generated responses"
"doi:10.18267/j.aip.282","CAP_PLANNING","You may benefit from creating a detailed logical outline, anticipating probing questions, and practicing structured, analytic answers to support your argument."
"doi:10.1109/ms.2026.3668669","CAP_SYSDESIGN","ArchiLLM envisions a high-level microservice-based architecture before generating code"
"doi:10.1109/ms.2026.3668669","CAP_CODEGEN","generating code, aiming to improve the reliability and coherence of AI-produced systems"
"doi:10.1109/ms.2026.3668669","CAP_REQENG","Given minimal textual input, such as requirements or user stories"
"doi:10.1109/tse.2025.3632765","CAP_TESTING","use of ChatGPT-4.0 to generate security tests, which unit tests demonstrate how vulnerable library dependencies facilitate the supply chain attacks"
"doi:10.1109/tse.2025.3632765","CAP_VULNDET","generated tests demonstrated 24 evidence or proof of vulnerability for 49 Apps... filed six reports for the newly revealed vulnerabilities in Apps, and got four Common Vulnerability Entries (CVEs) assigned"
"doi:10.5152/electrica.2026.25033","CAP_CODEGEN","Routine coding tasks, such as CRUD operations, were efficiently generated by LLMs"
"doi:10.5152/electrica.2026.25033","CAP_TESTING","Automated test cases were generated by LLMs, complementing the manual testing conducted"
"doi:10.5152/electrica.2026.25033","CAP_DOCGEN","LLMs generated comprehensive API documentation and inline code comments following each sprint."
"doi:10.1109/tse.2026.3651566","CAP_CODECOMP","LLMs are often prompted with an incomplete code snippet and asked to suggest an appropriate API call."
"doi:10.1109/tse.2026.3651566","CAP_PROGREPAIR","we propose Detect-reason-Fix (Dr.Fix), a taxonomy-guided LLM-based APR method."
"doi:10.1109/te.2025.3646934","CAP_CODEGEN","CliCFPGA features a large language model (LLM)-assisted tool for generating and verifying hardware description language (HDL) code."
"doi:10.1109/te.2025.3646934","CAP_TESTING","CliCFPGA features a large language model (LLM)-assisted tool for generating and verifying hardware description language (HDL) code."
"doi:10.1109/ms.2025.3621128","CAP_TESTING","we used an LLM, GPT-4 Turbo, to generate test plans for eight Firefox features, evaluating them for novelty, validity, and relevance."
"doi:10.1145/3769694.3771107","CAP_SYSDESIGN","Data Structure Usage – Students selected more appropriate and efficient data structures, justifying their choices more effectively"
"doi:10.1145/3769694.3771107","CAP_CODEGEN","Functional Implementation – Programs were more complete and executed intended features correctly"
"doi:10.1145/3769694.3771107","CAP_DOCGEN","Documentation Quality – README files and code comments reflected thoughtful design rationales and deeper conceptual understanding"
"doi:10.14569/ijacsa.2025.0161272","CAP_TESTING","The proposed tool, AI-Based Desktop Test Generator (AIDTG), employs a dual-LLM engine (Gemini 1.5 and GPT-4) to transform high-level functional descriptions from the Product Backlog into structured validation scenarios."
"doi:10.1145/3769694.3771128","CAP_CODEGEN","Students used ChatGPT to help write code for their programming assignments, such as writing a program to check if two strings are anagrams."
"doi:10.1145/3769694.3771128","CAP_DEBUGGING","Students cited the value of ChatGPT for debugging when completing their programming lab tasks."
"doi:10.1145/3774752","CAP_CODEREVIEW","pipelines with multiple autograders for specific dimensions (what we call 3D autograders) can provide fine-grained feedback"
"doi:10.1145/3774752","CAP_CODEGEN","code generation with GPT-4 to leverage automatic code testing as a grading mechanism"
"doi:10.1145/3774752","CAP_TESTING","leverage automatic code testing as a grading mechanism in exchange for slightly more lenient grading standards"
"doi:10.1609/aaai.v40i47.41475","CAP_CODEGEN","Generates structured JSON schema that specifies the configuration required for rendering the corresponding dashboard widget."
"doi:10.1145/3756681.3757081","CAP_CODEGEN","It generates repetitive blocks of code and similar variable definitions easily and quickly."
"doi:10.1145/3756681.3757081","CAP_REFACTORING","60% of participants cited reduced effort for code refactoring (e.g., functions and variables updates)"
"doi:10.1145/3756681.3757081","CAP_DOCGEN","Javadoc generation stands lowest at 2, indicating minimal required adjustments."
"doi:10.1145/3756681.3757081","CAP_TESTING","Both 'Write tests' and 'Fix bugs' show similar levels at around 3.4."
