capability_id,label,source_paper,source_section,wieringa_class_of_source,sdlc_activity,notes
CAP_CODEGEN,Code Generation,Otoum & Elkhalili (2026),§III.D.1 Intelligent Programming Assistants,Philosophical,Coding,"Single-agent (Copilot, CodeT5, AlphaCode) and multi-agent (MetaGPT, ChatDev) systems generating code from specifications"
CAP_CODEGEN,Code Generation,Wang - Agents in SE (2025),§3 / Table 5 / Figure 2,Philosophical,Coding,"Largest category in taxonomy (115 papers); covers function-level and repo-level generation"
CAP_CODEGEN,Code Generation,Wang - AI Agentic Programming (2025),§4.2.1–4.2.2 Interactive Assistants & Task-Oriented Agents,Philosophical,Coding,"Encompasses single-turn completions through multi-step agentic generation with tool feedback loops"
CAP_CODECOMP,Code Completion,Otoum & Elkhalili (2026),§IV.F / §VII.E,Philosophical,Coding,"Inline next-token/line suggestions; constrained to specific tasks in industrial adoption"
CAP_CODECOMP,Code Completion,Wang - Agents in SE (2025),§3.3 Action Module,Philosophical,Coding,"Token-based prediction in IDE context; distinct from full code generation"
CAP_CODECOMP,Code Completion,Wang - AI Agentic Programming (2025),§4.2.1 Interactive Code Assistants,Philosophical,Coding,"GitHub Copilot, Cursor, Tabnine; reactive single-turn behaviour; most widely adopted category"
CAP_PROGREPAIR,Program Repair / Bug Fixing,Otoum & Elkhalili (2026),§III.D.2 Software Maintenance Agents / §VII.H.2,Philosophical,Debugging,"RepairAgent and SWE-agent for automated program repair; agents locate and fix defects autonomously"
CAP_PROGREPAIR,Program Repair / Bug Fixing,Wang - Agents in SE (2025),§3.3 Action Module,Philosophical,Debugging,"Copiloting the Copilots (Repilot); plastic surgery hypothesis; iterative repair via compiler feedback"
CAP_PROGREPAIR,Program Repair / Bug Fixing,Wang - AI Agentic Programming (2025),§4.2.2 Autonomous Task-Oriented Agents,Philosophical,Debugging,"Multi-step debugging workflows with tool integration; SWE-Agent and AutoCodeRover"
CAP_TESTING,Test Generation and Execution,Otoum & Elkhalili (2026),§III.D.3 Co-Programming / §III.F Agentic DevOps,Philosophical,Testing,"Test-driven development agents generating tests and implementation in lockstep; QA tester role in multi-agent teams"
CAP_TESTING,Test Generation and Execution,Wang - Agents in SE (2025),§3.3.1 Internal Action / Table 5,Philosophical,Testing,"AgentCoder uses separate test designer and test executor agents; test-driven reinforcement"
CAP_TESTING,Test Generation and Execution,Wang - AI Agentic Programming (2025),§2.1 / §4.2.2,Philosophical,Testing,"Agents invoke pytest and test runners as external tools; iterative refinement until tests pass"
CAP_DEBUGGING,Debugging and Fault Localisation,Otoum & Elkhalili (2026),§III.D.2 Software Maintenance Agents,Philosophical,Debugging,"Agents detect code smells and localise faults; lightweight testers reproduce bugs with minimal input"
CAP_DEBUGGING,Debugging and Fault Localisation,Wang - Agents in SE (2025),§3.2.2 Episodic Memory,Philosophical,Debugging,"AdbGPT reproduces bugs from bug reports using in-context learning"
CAP_DEBUGGING,Debugging and Fault Localisation,Wang - AI Agentic Programming (2025),§4.1.3 Tool-Augmented Agents,Philosophical,Debugging,"Agents interact with debuggers and compilers; trace failures to intermediate steps"
CAP_CODEREVIEW,Automated Code Review,Otoum & Elkhalili (2026),§III.E / §VII.H.2,Philosophical,Code Review,"CodeAgent for automated code review; multi-agent critic patterns"
CAP_CODEREVIEW,Automated Code Review,Wang - Agents in SE (2025),§3.3 Action Module,Philosophical,Code Review,"Writer-critic collaboration; structured natural-language review of code submissions"
CAP_CODEREVIEW,Automated Code Review,Wang - AI Agentic Programming (2025),§4.2.3–4.2.4 Planning / Multi-Agent,Philosophical,Code Review,"Reviewer agents in multi-agent frameworks (ChatDev, MetaGPT); role-based review processes"
CAP_REFACTORING,Code Refactoring,Otoum & Elkhalili (2026),§III.D.2 Software Maintenance Agents,Philosophical,Coding,"Agents detect code smells and carry out refactoring; improves design quality"
CAP_REFACTORING,Code Refactoring,Wang - AI Agentic Programming (2025),§4.2.1 Interactive Code Assistants,Philosophical,Coding,"Editing suggestions and refactoring within IDE-integrated assistants"
CAP_DOCGEN,Documentation Generation,Otoum & Elkhalili (2026),§III.F Adapted Processes,Philosophical,Documentation,"Agents generate documentation consistent with code progression"
CAP_DOCGEN,Documentation Generation,Wang - Agents in SE (2025),§3.1 Perception / §3.2 Memory,Philosophical,Documentation,"Code summarization and comment generation; snippet-to-comment models"
CAP_DOCGEN,Documentation Generation,Wang - AI Agentic Programming (2025),§2.1 / §4.2.1,Philosophical,Documentation,"Agents call Sphinx/pdoc to produce API documentation; inline documentation suggestions"
CAP_CODESEARCH,Code Search and Retrieval,Wang - Agents in SE (2025),§3.2.1 Semantic Memory / §3.3 Retrieval Action / Table 4,Philosophical,Coding,"Multiple retrieval paradigms: text-code, code-code, hybrid; APIRetriever and query expansion frameworks"
CAP_CODESUM,Code Summarisation,Wang - Agents in SE (2025),§3.1.1 Textual Input / Table 5,Philosophical,Documentation,"Generating natural-language summaries of code; binary decompilation summarisation"
CAP_CODETRANS,Code Translation,Otoum & Elkhalili (2026),§III.D.2 Software Maintenance Agents,Philosophical,Coding,"Migration agents adapt legacy software to new platforms and language versions"
CAP_CODETRANS,Code Translation,Wang - Agents in SE (2025),§3.3 Action Module,Philosophical,Coding,"Cross-language translation; Pan et al. study bugs introduced during LLM translation"
CAP_CODETRANS,Code Translation,Wang - AI Agentic Programming (2025),§4.2.2 Autonomous Task-Oriented Agents,Philosophical,Coding,"Framework migration and language porting as multi-step agentic tasks"
CAP_VULNDET,Vulnerability Detection,Wang - Agents in SE (2025),§3.2.1 Semantic Memory,Philosophical,Testing,"Vul-RAG constructs vulnerability knowledge base from CVE instances for LLM-based detection"
CAP_VULNDET,Vulnerability Detection,Wang - AI Agentic Programming (2025),§4.2.2,Philosophical,Testing,"Security analysis as part of autonomous task-oriented agent workflows"
CAP_REQENG,Requirements Engineering,Otoum & Elkhalili (2026),§IV.A / §VII.E,Philosophical,Requirements,"LLM agents applied to requirements analysis; mentioned as emerging application domain"
CAP_REQENG,Requirements Engineering,Wang - AI Agentic Programming (2025),§4.2.2 Autonomous Task-Oriented Agents,Philosophical,Requirements,"Requirements interpretation as first step in autonomous end-to-end development"
CAP_SYSDESIGN,System Design and Architecture,Otoum & Elkhalili (2026),§IV.A,Philosophical,Design,"Mentioned alongside requirements and testing as SE activities addressed by agents"
CAP_CICD,CI/CD and Deployment Automation,Otoum & Elkhalili (2026),§III.F Agentic DevOps,Philosophical,CI/CD,"Autonomous agents in continuous integration pipelines, automated testing systems, and deployment"
CAP_CICD,CI/CD and Deployment Automation,Wang - AI Agentic Programming (2025),§4.2.2 / Table 5,Philosophical,CI/CD,"DevGPT converts tickets into actionable code and CI artifacts; Google Jules proposes diffs on real projects"
CAP_COMMITMSG,Commit Message Generation,Wang - Agents in SE (2025),§3.2.2 Episodic Memory,Philosophical,Documentation,"RACE uses retrieval-augmented approach for commit message generation"
CAP_PLANNING,Task Planning and Decomposition,Otoum & Elkhalili (2026),§III.B Goal-Oriented Agents,Philosophical,Project Management,"Complex SE tasks decomposed into manageable sub-goals pursued sequentially or in parallel"
CAP_PLANNING,Task Planning and Decomposition,Wang - AI Agentic Programming (2025),§4.2.3 Planning-Centric Agents,Philosophical,Project Management,"CAMEL role-playing; CodePlan structured decomposition; Voyager skill library for planning"
CAP_MULTIAGENT,Multi-Agent Collaboration,Otoum & Elkhalili (2026),§III.E Multi-Agent Paradigm / §III.D.3 Co-Programming,Philosophical,Project Management,"ChatDev virtual software firm; MetaGPT role-based teams (CEO, CTO, developer, tester, reviewer)"
CAP_MULTIAGENT,Multi-Agent Collaboration,Wang - AI Agentic Programming (2025),§4.2.4 Multi-Agent and Collaborative,Philosophical,Project Management,"ChatDev, AutoCodeRover, SWE-Agent as collaborative multi-agent systems; communication protocols"
CAP_SELFREFLECT,Self-Reflection and Iterative Refinement,Otoum & Elkhalili (2026),§III.B Behavior-Driven / §IV.C.2,Philosophical,Coding,"Reflexion verbal reinforcement; test-driven reinforcement; agents learn from execution failures"
CAP_SELFREFLECT,Self-Reflection and Iterative Refinement,Wang - Agents in SE (2025),§3.3.1 Internal Action / Reasoning,Philosophical,Coding,"Chain-of-thought reasoning; self-refine; iterative check-rewrite cycles"
CAP_SELFREFLECT,Self-Reflection and Iterative Refinement,Wang - AI Agentic Programming (2025),§4.1.4 Adaptive Agents,Philosophical,Coding,"Adaptive agents modify strategies using feedback from tools, users, or environment"
