"paper_id","passage_id","in_vivo_code","descriptive_code","coder_notes"
"doi:10.1186/s40594-025-00592-w","P001","survival at that point","Deadline-driven delegation","Highlights how time pressure shifts user strategy from inquiry and learning to simple task offloading."
"doi:10.1186/s40594-025-00592-w","P002","senior programmer sitting right next to me","Anthropomorphic partnership framing","Learners view the IDE integrated assistant as a human-like collaborator."
"doi:10.1186/s40594-025-00592-w","P003","don’t even know how to check if it’s right","Verification difficulty for novices","Lack of expertise prevents proper evaluation and testing of AI generated code."
"doi:10.1186/s40594-025-00592-w","P004","just assumed it would be correct","Boilerplate offloading blindspot","Experienced students uncritically accept generated code for perceived trivial tasks, leading to latent bugs."
"doi:10.1007/s00766-026-00457-w","P001","systematically engineer trust","Engineering trust requirements",""
"doi:10.1007/s00766-026-00457-w","P002","reliability is the most critical trust factor","Criticality of reliability",""
"doi:10.1007/s00766-026-00457-w","P003","clarity on how the system is built","Transparency and expectations",""
"doi:10.1007/s00766-026-00457-w","P004","maintained high accuracy and transparency","Adoption conditions","Note: while the AI tool is mainly an HR chatbot and not for direct source coding, its construction, requirement analysis, and the trust considerations form a relevant aspect for AI system engineering contexts."
"doi:10.1145/3779296","P001","brought a sense of calmness","Increased team confidence",""
"doi:10.1145/3779296","P002","get some feedback","AI as peer reviewer","Use of AI to simulate peer review of design documents."
"doi:10.1145/3779296","P003","treated it like a black box","Unchecked generated code",""
"doi:10.1145/3779296","P004","explain line by line","AI code explanation","Used as a learning tool to understand codebase/functions."
"doi:10.1145/3779296","P005","generate some test data","Test data generation","Using context schema to generate realistic seed data."
"doi:10.1007/s10664-026-10813-7","P001","conversational interface is accessible","Accessible conversational UI",""
"doi:10.1007/s10664-026-10813-7","P002","substantially shorter completion times","Reduced task time",""
"doi:10.1007/s10664-026-10813-7","P003","sustained dialogue to correct errors","Iterative error correction",""
"doi:10.1007/s10664-026-10813-7","P004","communicate effectively with the model in natural language","Natural language specification challenge",""
"doi:10.5815/ijmecs.2026.02.05","P001","compare evaluations by human evaluators and ChatGPT","Human-AI benchmark evaluation",""
"doi:10.5815/ijmecs.2026.02.05","P002","prompt-driven evaluation approach","Prompt-based interaction",""
"doi:10.5815/ijmecs.2026.02.05","P003","persistent challenge remains with the Conceptually Sound criterion","Semantic evaluation challenge",""
"doi:10.5815/ijmecs.2026.02.05","P004","support user story quality evaluation at scale","Scalable automated evaluation",""
"doi:10.1002/cae.70177","P001","develop a full-stack application","Full-stack development","Students built applications using multiple GenAI tools"
"doi:10.1002/cae.70177","P002","gained the necessary knowledge and practical experience","Improved learning outcomes","Positive educational impact with mentoring"
"doi:10.1145/3770762.3772668","P001","unreliable","AI Reliability Issues","Student noting AI fallibility and potential negative impacts on their learning."
"doi:10.1145/3770762.3772668","P002","streamline certain processes like writing boilerplate","Efficiency in Boilerplate Generation",""
"doi:10.1145/3770762.3772668","P003","Relying too heavily","Over-reliance Challenges",""
"doi:10.1145/3770762.3772668","P004","asking a person sometimes is better","Human vs AI Help-Seeking","Contrast between social learning and AI use."
"doi:10.1145/3770762.3772668","P005","explain the issues well","Explainability in Debugging",""
"doi:10.1145/3770762.3772662","P001","concerns were raised about feedback accuracy","feedback accuracy challenges",""
"doi:10.1145/3770762.3772662","P002","prompts deeper reflection","automated reflection prompting",""
"doi:10.1145/3770762.3772662","P003","formulate a revision plan","debugging plan generation",""
"doi:10.1145/3770762.3772662","P004","providing troubleshooting opportunities","office hour augmentation",""
"doi:10.1145/3770762.3772662","P005","chief frustration was generic hypotheticals","repetitive generic questions",""
"doi:10.3390/electronics15040903","P001","107 prompts","Prompt breakdown","Breakdown of prompt intent provides concrete usage distribution."
"doi:10.3390/electronics15040903","P002","without writing any code manually","Zero-touch code generation","Suggests a highly delegated workflow where the AI acts as the sole author."
"doi:10.59543/gk2qp136","P001","private, tool-mediated interactions","shift to private problem-solving","Defines the core concept of the Loneliness Framework"
"doi:10.59543/gk2qp136","P002","statistically distinguishable monotonic decline","reduced public help-seeking",""
"doi:10.59543/gk2qp136","P003","PR discussion density (PRD_t) declines","reduced PR communication",""
"doi:10.59543/gk2qp136","P004","Documentation commit ratio (DER_t) declines","reduced knowledge externalization",""
"doi:10.59543/gk2qp136","P005","distill AI-assisted solutions into persistent knowledge entries","knowledge externalization workflows",""
"doi:10.18267/j.aip.282","P001","psychologically personalized","Personality-adapted AI responses","Highlights the direct application of psychological profiling (MBTI) to adapt chatbot responses."
"doi:10.18267/j.aip.282","P002","tailoring responses to individual personality traits","Increased perceived relevance","Connects user satisfaction to customized content delivery."
"doi:10.18267/j.aip.282","P003","dynamically adapt tone, style, and response structure","Dynamic content reformulation","Describes the mechanism by which the PAGE module alters the LLM output."
"doi:10.5152/electrica.2026.25033","P001","accelerating the prototyping phase","Faster prototyping",""
"doi:10.5152/electrica.2026.25033","P002","Automated test cases were generated","Test generation",""
