"canonical_label","cluster_size","mode","confirmed_by","confirmed_at","source","notes","residuals_subcategory","residuals_subexplanation"
"Requirement-Test Validation","2","4","TBS","2026-04-19T11:28:33+00:00","step4_llmassist","","",""
"Automated Log Interpretation","2","5","TBS","2026-04-19T11:17:11+00:00","step4_llmassist","","",""
"Syntactic Accuracy Assurance","4","4","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Evaluating LLM Advisory Efficacy","3","r","TBS","2026-04-19T11:15:04+00:00","step4_llmassist","","outcome","Measures the effect and efficacy of LLM guidance, aligning with outcome-based evaluations of system performance."
"Workflow Integration Depth","4","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","affordance","Describes the enabling surface and depth of tooling integration that shapes user workflows."
"Cursory Academic Peer Evaluation","2","4","TBS","2026-04-19T11:19:16+00:00","step4_llmassist","","",""
"Perceived Interaction Quality","2","r","TBS","2026-04-19T11:27:28+00:00","step4_llmassist","","outcome","Measures user satisfaction and the overall effect of the interaction on the user experience."
"Directed Cognitive Prioritization","2","r","TBS","2026-04-19T11:19:34+00:00","step4_llmassist","","affordance","Describes an enabling tooling feature that guides user attention and shapes the interaction surface."
"Contextual Processing Limitations","2","r","TBS","2026-04-19T11:18:44+00:00","step4_llmassist","","constraint","Identifies a limiting condition where a lack of deep context restricts the interaction."
"Counteracting Proficiency Deficits","2","r","TBS","2026-04-19T11:19:04+00:00","step4_llmassist","","constraint","Describes a skill gap, which is a limiting condition that constrains the user's interaction."
"Demonstrated Competency Advancement","2","r","TBS","2026-04-19T11:19:22+00:00","step4_llmassist","","outcome","Measures a direct learning gain and skill improvement resulting from the interaction."
"Protracted Troubleshooting Cycles","2","r","TBS","2026-04-19T11:27:48+00:00","step4_llmassist","","outcome","Measures a negative effect on velocity and productivity due to costly, iterative error fixing."
"Sustained Dialogue Proficiency","2","2","TBS","2026-04-19T11:29:42+00:00","step4_llmassist","","",""
"Automated Multidimensional Feedback Generation","3","4","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Minimalist Interaction Prioritization","3","r","TBS","2026-04-19T11:15:11+00:00","step4_llmassist","","constraint","Describes a restricted scope and limitation that constrains how users formulate their prompts."
"Unpredictable Generative Outputs","2","r","TBS","2026-04-19T11:29:49+00:00","step4_llmassist","","constraint","Identifies non-determinism as a limiting condition that constrains the reliability of the interaction."
"Syntax Proficiency Support","2","r","TBS","2026-04-19T11:29:43+00:00","step4_llmassist","","affordance","Describes an enabling tooling assistance that shapes the interaction by automating syntax."
"Software Defect Remediation","2","5","TBS","2026-04-19T11:29:16+00:00","step4_llmassist","","",""
"Survey Research Procedures","3","r","TBS","2026-04-19T11:15:42+00:00","step4_llmassist","","meta","Represents a research methodology and framing rather than a direct measurement or system feature."
"Recursive Inquiry Optimization","2","2","TBS","2026-04-19T11:27:57+00:00","step4_llmassist","","",""
"Perceived Reliability and Utility","2","r","TBS","2026-04-19T11:27:33+00:00","step4_llmassist","","outcome","Measures user satisfaction and the perceived usefulness effect of the interaction."
"Context-Aware Code Processing","2","2","TBS","2026-04-19T11:18:38+00:00","step4_llmassist","","",""
"Manual Clipboard Operations","2","r","TBS","2026-04-19T11:27:21+00:00","step4_llmassist","","affordance","Describes the enabling GUI surface and workflow integration used to facilitate the interaction."
"Learner Perception Evaluations","2","r","TBS","2026-04-19T11:26:43+00:00","step4_llmassist","","meta","Represents a research methodology and study framing based on student evaluation surveys."
"Multilingual Syntax Transformation","2","5","TBS","2026-04-19T11:27:24+00:00","step4_llmassist","","",""
"Feedback Reliability and Precision","2","r","TBS","2026-04-19T11:23:52+00:00","step4_llmassist","","outcome","Measures the accuracy and precision effects of the system's generated feedback."
"Restricted Contextual Scope","5","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","constraint","Explicitly describes a limiting condition regarding context memory that constrains the interaction."
"Prioritizing Quality Over Volume","2","r","TBS","2026-04-19T11:27:46+00:00","step4_llmassist","","constraint","Identifies low-quality input data as a limiting condition that constrains the interaction's effectiveness."
"Prompt-Centric Visual Interaction","4","3","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Iterative Troubleshooting Methodologies","4","2","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Verifying AI Conceptual Insights","2","4","TBS","2026-04-19T11:29:55+00:00","step4_llmassist","","",""
"Automating Defect Reproduction Workflows","3","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Optimizing Defect Correction Processes","4","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Anthropomorphic Navigation Failures","2","5","TBS","2026-04-19T11:16:29+00:00","step4_llmassist","","",""
"Structured Sequential Prompting","2","2","TBS","2026-04-19T11:29:36+00:00","step4_llmassist","","",""
"Facilitating Preliminary Schematic Ideation","2","2","TBS","2026-04-19T11:22:54+00:00","step4_llmassist","","",""
"Automated Test Script Engineering","4","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Operational Labor Demands","2","r","TBS","2026-04-19T11:27:28+00:00","step4_llmassist","","outcome","Measures the effect of the interaction on productivity through effort overhead and manual effort reduction."
"Adoption Drivers And Inhibitors","3","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","meta","Represents a meta-observation about adoption motivations and barriers rather than a direct interaction measure."
"Automated Software Synthesis Tasks","3","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Validation Driven Software Optimization","2","4","TBS","2026-04-19T11:29:51+00:00","step4_llmassist","","",""
"Zero Temperature Non-Determinism","1","r","TBS","2026-04-19T12:48:02+00:00","step4_llmassist","","constraint","Describes a technical limitation that restricts the predictability and reliability of the model's outputs."
"Integrated Development Tooling Workflows","5","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","affordance","Describes an enabling surface and integration depth (IDE) that shapes how users interact with the system."
"Manual Effort Intensity","2","r","TBS","2026-04-19T11:27:22+00:00","step4_llmassist","","outcome","Measures the effect of the interaction on the amount of human intervention and manual effort required."
"Managing Model Output Veracity","3","4","TBS","2026-04-19T11:15:10+00:00","step4_llmassist","","",""
"Superficial Verification of Errors","2","4","TBS","2026-04-19T11:29:40+00:00","step4_llmassist","","",""
"Accelerated Engineering Velocity","4","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","outcome","Measures a direct effect on productivity, specifically the reduction in development time and increased speed."
"Eroded Human Accountability","2","r","TBS","2026-04-19T11:20:47+00:00","step4_llmassist","","outcome","Measures a negative effect or consequence of the interaction regarding human responsibility and accountability."
"Comparative Code Quality Assessment","4","4","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Urgent Full Task Offloading","2","5","TBS","2026-04-19T11:29:50+00:00","step4_llmassist","","",""
"Erosion of Contextual Continuity","3","r","TBS","2026-04-19T11:15:01+00:00","step4_llmassist","","constraint","Describes a limiting condition where the system fails to retain context, restricting the interaction's scope."
"Collaborative AI Programming Workflow","3","2","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Instructional Placement Advantages","2","r","TBS","2026-04-19T11:25:08+00:00","step4_llmassist","","outcome","Measures the beneficial effects and advantages derived from the specific positioning of instructions."
"Contextual Code Synthesis Efficacy","4","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Automated Software Asset Synthesis","2","5","TBS","2026-04-19T11:17:28+00:00","step4_llmassist","","",""
"Self-verification Reliability","2","4","TBS","2026-04-19T11:29:03+00:00","step4_llmassist","","",""
"Personalized Relevance Assessment","2","4","TBS","2026-04-19T11:27:37+00:00","step4_llmassist","","",""
"Automated Analytical Programming","2","5","TBS","2026-04-19T11:16:59+00:00","step4_llmassist","","",""
"Strategic Workflow Partitioning","2","5","TBS","2026-04-19T11:29:30+00:00","step4_llmassist","","",""
"Human Assessment Criteria","2","4","TBS","2026-04-19T11:25:02+00:00","step4_llmassist","","",""
"Complexity Driven Accuracy Loss","2","r","TBS","2026-04-19T11:18:32+00:00","step4_llmassist","","outcome","Measures a negative effect on accuracy and performance resulting from high task complexity."
"Interactive Contextual Debugging","2","2","TBS","2026-04-19T11:25:25+00:00","step4_llmassist","","",""
"Iterative Execution Feedback Loop","2","2","TBS","2026-04-19T11:26:00+00:00","step4_llmassist","","",""
"Refined Programmatic Logic and Clarity","2","r","TBS","2026-04-19T11:28:29+00:00","step4_llmassist","","outcome","Measures the positive effect on code correctness, semantics, and readability."
"Automated Test Suite Synthesis","14","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Failure Detection and Classification","2","4","TBS","2026-04-19T11:23:14+00:00","step4_llmassist","","",""
"Autonomous LLM Programming Dependency","2","r","TBS","2026-04-19T11:18:14+00:00","step4_llmassist","","meta","Represents a meta-observation about user reliance and adoption behaviors regarding autonomous coding tools."
"Explanatory Troubleshooting Efficacy","3","r","TBS","2026-04-19T11:15:06+00:00","step4_llmassist","","outcome","Measures the utility and effectiveness of the system in aiding debugging and providing explanations."
"Defect Resolution Efficacy","3","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","outcome","Measures the effect of the interaction on the ability to successfully diagnose and repair bugs."
"Enhanced Defect Pinpointing","3","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Automated Static Program Evaluation","2","4","TBS","2026-04-19T11:17:35+00:00","step4_llmassist","","",""
"Accelerated Operational Speed","2","r","TBS","2026-04-19T11:16:03+00:00","step4_llmassist","","outcome","Measures the effect of the interaction on reducing task completion time."
"Deficient Output Dependability Scrutiny","2","4","TBS","2026-04-19T11:19:19+00:00","step4_llmassist","","",""
"Scaffolding Facilitated Performance","2","r","TBS","2026-04-19T11:29:00+00:00","step4_llmassist","","outcome","Measures the performance gains and positive effects enabled by task scaffolding."
"Enhanced Runtime Fault Discovery","2","4","TBS","2026-04-19T11:20:08+00:00","step4_llmassist","","",""
"Enhanced Operational Productivity","4","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","outcome","Measures the direct effect on efficiency, resource utilization, and overall productivity."
"Substantial Processing Lag","3","r","TBS","2026-04-19T11:15:38+00:00","step4_llmassist","","constraint","Describes latency, which is a limiting condition that constrains the fluidity of the interaction."
"Accelerated Task Execution","2","r","TBS","2026-04-19T11:16:07+00:00","step4_llmassist","","outcome","Measures the effect of the interaction on task efficiency and execution speed."
"Proficient Code Synthesis","5","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Machine Generated Software Critique","2","4","TBS","2026-04-19T11:27:00+00:00","step4_llmassist","","",""
"Heightened Output Velocity","2","r","TBS","2026-04-19T11:24:57+00:00","step4_llmassist","","outcome","Measures the effect on task throughput and the acceleration of output generation."
"Defect Identification Effectiveness","2","4","TBS","2026-04-19T11:19:18+00:00","step4_llmassist","","",""
"Unpredictable Complex Outputs","1","r","TBS","2026-04-19T12:46:58+00:00","step4_llmassist","","constraint","Describes a limiting condition where output unpredictability restricts the user's ability to rely on the system."
"Task Abandonment Threshold","1","r","TBS","2026-04-19T12:46:24+00:00","step4_llmassist","","constraint","Describes a limiting condition or breaking point that restricts the continuation of the interaction."
"Tool Integration Challenge","1","r","TBS","2026-04-19T12:46:46+00:00","step4_llmassist","","constraint","Describes a friction or limitation in tooling integration that constrains the interaction."
"Verification Cognitive Burden","2","r","TBS","2026-04-19T11:29:53+00:00","step4_llmassist","","constraint","Cognitive load and overhead are explicitly defined as constraints that limit the interaction."
"AI Mediated Code Refactoring","2","5","TBS","2026-04-19T11:15:57+00:00","step4_llmassist","","",""
"Missing Status Feedback","1","r","TBS","2026-04-19T12:24:01+00:00","step4_llmassist","","constraint","The absence of feedback acts as a limiting condition on the user's ability to interact effectively."
"Coordinated Agent Frameworks","2","5","TBS","2026-04-19T11:18:46+00:00","step4_llmassist","","",""
"Substantial Manual Code Revision","2","r","TBS","2026-04-19T11:29:39+00:00","step4_llmassist","","outcome","Measures the resulting effect of the interaction in terms of the manual effort required."
"High-Quality Language Generation","1","r","TBS","2026-04-19T12:18:43+00:00","step4_llmassist","","outcome","Measures the quality and successful effect of the generated output."
"Automation Trust and Security","3","4","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Automated Defect Lifecycle Management","7","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
